name	country	gender	birthdate	competition_years	first	last
Benjamin GOERKE	GER	M	6 Jan 1993	1993	None	None	None
Claudia MACK	GER	W	8 Jan 1986	1986	2011,2011,2011,2010	2010	2011
Annika WEISSE	GER	W	3 Jan 1983	1983	None	None	None
Christopher-Yannik EGLER	GER	M	19 Apr 1993	1993	None	None	None
Charlotte REINHARDT	GER	W	25 Nov 1993	1993	2018,2018,2017,2017,2017,2016,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2012	2012	2018
Ed MAAN	NED	M	None	None	1978	1978	1978
Stan DEPMAN	USA	M	None	None	1978	1978	1978
Roland DERN	GER	M	None	None	1978	1978	1978
Per Arne STEEN	NOR	M	None	None	1978,1976,1974	1974	1978
Edward GRIBBON	USA	M	None	None	1978	1978	1978
Gary BOHLIN	USA	M	None	None	1978	1978	1978
Vaughan BOLLEN	AUS	M	None	None	1978	1978	1978
Caroline HACKLER	GER	W	22 Mar 1992	1992	2012,2010	2010	2012
Fabienne KNOKE	GER	W	26 Jun 1992	1992	2013,2012,2010	2010	2013
Jessica BEER	GER	W	13 Aug 1993	1993	None	None	None
Tobias FRANZMANN	GER	M	8 Dec 1990	1990	2016,2016,2016,2016,2016,2015,2014,2014,2012,2011,2011	2011	2016
Helen GLOVER	GBR	W	17 Jun 1986	1986	2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010	2010	2016
Kelly LIMOND	GBR	W	19 Apr 1980	1980	None	None	None
Imogen WALSH	GBR	W	17 Jan 1984	1984	2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2011	2011	2016
Zak LEE-GREEN	GBR	M	5 Feb 1991	1991	2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2016,2015,2015,2015,2014,2014,2013,2012,2011,2010	2010	2018
Jamie WATSON	GBR	M	18 Jul 1988	1988	2010	2010	2010
Charlotte BURGESS	GBR	W	25 Jun 1990	1990	2012,2011,2010	2010	2012
Anna RAILTON	GBR	W	17 Mar 1989	1989	None	None	None
Erica BODMAN	GBR	W	24 Jan 1988	1988	2011	2011	2011
Polly SWANN	GBR	W	5 Jun 1988	1988	2016,2016,2016,2016,2014,2014,2014,2014,2013,2013,2013,2013,2011,2010	2010	2016
Genevieve BEHRENT	NZL	W	25 Sep 1990	1990	2016,2016,2016,2015,2015,2015,2013,2013,2013,2012,2011,2010,2010	2010	2016
Kelsey BEVAN	NZL	W	10 Apr 1990	1990	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2013,2013,2013,2012,2011,2010,2010	2010	2018
Fiona BOURKE	NZL	W	16 Oct 1988	1988	2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2011,2011,2011,2010,2010	2010	2015
Julia EDWARD	NZL	W	20 Feb 1991	1991	2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2010,2010	2010	2016
David MABBOTT	NZL	M	13 Jan 1989	1989	2011,2010	2010	2011
Curtis RAPLEY	NZL	M	5 Dec 1990	1990	2015,2015,2015,2014,2014,2014,2013,2013,2013,2013,2012,2012,2011,2010	2010	2015
Finian SCOTT	NZL	M	27 Aug 1990	1990	2012,2010	2010	2012
Finau SELE	NZL	M	21 May 1990	1990	2012,2011,2010	2010	2012
Lucy STRACK	NZL	W	28 Nov 1989	1989	2014,2013,2013,2013,2012,2011,2011,2010,2010	2010	2014
Adam TRIPP	NZL	M	9 Sep 1988	1988	2013,2013,2013,2013,2012,2012,2012,2011,2011,2010,2010	2010	2013
Kylie WRIGHT	NZL	W	2 Mar 1989	1989	2010	2010	2010
Omar LOPEZ LERICHE	MEX	M	17 Nov 1989	1989	2014,2014,2013,2012,2012,2011	2011	2014
Andrew MCKINLEY	AUS	M	None	None	1978	1978	1978
Jhosymar VALENZUELA PONCE	MEX	M	17 Jul 1987	1987	2014,2014,2012,2011	2011	2014
Bob COOPER	AUS	M	None	None	1978	1978	1978
Omar TEJADA RIOS	MEX	M	27 Feb 1989	1989	2014,2013,2011	2011	2014
Ian PORTER	AUS	M	None	None	1978,1977	1977	1978
Gerardo SANCHEZ DURAN	MEX	M	24 Aug 1987	1987	2013,2011,2011,2010	2010	2013
Jeff SYKES	AUS	M	None	None	1978,1973	1973	1978
Fabiola NUNEZ ZURITA	MEX	W	28 Jan 1981	1981	2017,2014,2012,2011,2011	2011	2017
Colin SMITH  I	AUS	M	None	None	1978,1977,1975,1974	1974	1978
Adrian MAGINN	AUS	M	None	None	1978	1978	1978
Itzama MEDINA PINEDA	MEX	W	15 Aug 1988	1988	2014	2014	2014
Anthony FRENCH	GBR	M	None	None	1978,1975	1975	1978
Ton LUCASSEN	NED	M	None	None	1978,1976	1976	1978
Dick SWENNE	NED	M	None	None	1978	1978	1978
J.V. PROOYEN	NED	M	None	None	1978	1978	1978
Alfred LOERBROKS	GER	M	None	None	1978	1978	1978
Hans-Josef BUESKEN	GER	M	None	None	1978,1976	1976	1978
Manfred JACOBS	GER	M	None	None	1978	1978	1978
Guenter KRAUT	GER	M	None	None	1978	1978	1978
Hans BORSINSKI	GER	M	None	None	1978	1978	1978
Mac GOOD	USA	M	None	None	1978	1978	1978
Robert LYNCH	USA	M	None	None	1978,1977,1976	1976	1978
Bruce STONE	USA	M	None	None	1978,1978,1976	1976	1978
Frank PISANI	USA	M	None	None	1978,1976	1976	1978
Richard EDWARDS	USA	M	None	None	1978	1978	1978
Steve QUAGLIANO	USA	M	None	None	1978	1978	1978
Justin RYAN	IRL	M	10 Aug 1990	1990	2013,2011,2011,2011,2011,2010,2010,2010	2010	2013
Karol DOHERTY	IRL	M	25 Sep 1979	1979	2015,2012,2011,2010,2010	2010	2015
Paul O'DONOVAN	IRL	M	19 Apr 1994	1994	2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2012,2011	2011	2018
Peter HANILY	IRL	M	None	None	2011,2011,2011,2010,2010	2010	2011
Sarah DOLAN	IRL	W	25 Jul 1990	1990	2011,2011,2011,2011,2010,2010,2010	2010	2011
Shane O'DRISCOLL	IRL	M	10 Sep 1992	1992	2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2013,2012,2011,2011	2011	2018
Sophie STEINLE	GER	W	4 Nov 1991	1991	None	None	None
Karen KIESEWETTER	GER	W	2 Feb 1993	1993	2011	2011	2011
Paulo KALKHAKE	GER	M	25 Oct 1989	1989	None	None	None
Martynas MICKUS	LTU	M	18 Feb 1993	1993	2013,2012,2011	2011	2013
Aurimas DAMBRAUSKAS	LTU	M	24 Jun 1992	1992	2010	2010	2010
Aurimas ADOMAVICIUS	LTU	M	23 Sep 1993	1993	2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2013,2012,2011,2010	2010	2018
Renata VIKTOROVA	CZE	W	26 Feb 1992	1992	2010	2010	2010
Michaela VALENTOVA	CZE	W	25 Mar 1993	1993	2010	2010	2010
Alexandra VAREKOVA	CZE	W	16 Jul 1995	1995	2013,2012,2010	2010	2013
Tomas MOCEK	CZE	M	4 May 1992	1992	2010	2010	2010
Vaclav DIBLIK	CZE	M	4 Jan 1992	1992	2010	2010	2010
Veronika KOLAROVA	CZE	W	8 Apr 1994	1994	None	None	None
Karolina KOHOUTOVA	CZE	W	10 Mar 1992	1992	2010	2010	2010
Stepanka TURNOVA	CZE	W	18 Jul 1992	1992	2010	2010	2010
Michal TRUKSA	CZE	M	11 Mar 1993	1993	None	None	None
Lucie ZABOVA	CZE	W	7 Mar 1994	1994	2018,2017,2017,2017,2017,2017,2016,2016,2015,2014,2014,2012,2011,2010	2010	2018
Radek VANA	CZE	M	2 Feb 1992	1992	None	None	None
Nikola TAJMLOVA	CZE	W	6 Nov 1992	1992	2010	2010	2010
Lukas VODICKA	CZE	M	23 Nov 1993	1993	2011,2010	2010	2011
Vaclav VALSA	CZE	M	22 Apr 1994	1994	2016,2015	2015	2016
Pavlina ZOUBKOVA	CZE	W	17 Jun 1993	1993	2010	2010	2010
Michael KERSTGENS	GER	M	None	None	1978	1978	1978
Stefan VON WEYDENBERG	GER	M	None	None	1978	1978	1978
Vedran KARLOVIC	YUG	M	None	None	1978	1978	1978
Marino SRDOC	YUG	M	None	None	1978	1978	1978
Momir PODNAR	YUG	M	None	None	1978	1978	1978
Adam STERBAK	CZE	M	17 Dec 1993	1993	2016,2016,2015,2015,2015,2015,2014,2014,2013,2013,2012,2012,2012,2012,2011,2010	2010	2016
Damir PERIC	YUG	M	None	None	1978	1978	1978
Michal PLOCEK	CZE	M	17 Apr 1994	1994	2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2011	2011	2016
Petr SOUCEK	CZE	M	10 Jun 1993	1993	2011,2010	2010	2011
Michal PLESKAC	CZE	M	18 Jun 1992	1992	None	None	None
Jan SMEJKAL	CZE	M	22 Mar 1993	1993	2010	2010	2010
Tereza SIREROVA	CZE	W	18 Dec 1994	1994	2014,2013,2012	2012	2014
Stepan SMEJKAL	CZE	M	12 Jul 1995	1995	None	None	None
Jakub RYBIN	CZE	M	29 Apr 1994	1994	2012,2011	2011	2012
Jakub PAROULEK	CZE	M	1 Jan 1992	1992	2017,2017,2017,2017,2016,2015,2015,2014,2014,2013,2012,2011,2010	2010	2017
Frantisek RICKA	CZE	M	2 Jan 1993	1993	2010	2010	2010
Petra SVOBODOVA	CZE	W	12 Jul 1994	1994	None	None	None
Vendula NEMECKOVA	CZE	W	28 Oct 1994	1994	None	None	None
Martin MIKYSEK	CZE	M	6 Dec 1992	1992	2011,2011,2010	2010	2011
Albert NOVY	CZE	M	12 Aug 1992	1992	None	None	None
Martin MIKA	CZE	M	22 May 1993	1993	2011	2011	2011
Monika NOVAKOVA	CZE	W	26 Mar 1992	1992	2010	2010	2010
Kamila MUSILKOVA	CZE	W	21 Sep 1992	1992	2010	2010	2010
Rachel NENCINI	CZE	W	6 Mar 1993	1993	2015,2015,2014,2014,2014,2014,2012,2011,2010	2010	2015
Wolfgang ROTHE	GER	M	None	None	1978,1977	1977	1978
Gabriela MLCOCHOVA	CZE	W	21 Mar 1992	1992	2010	2010	2010
Frank EBEL	GER	M	None	None	1978	1978	1978
Martina MICHNOVA	CZE	W	9 Mar 1993	1993	None	None	None
Martin OSKERA	CZE	M	26 Jul 1993	1993	None	None	None
Volker KOSSACK	GER	M	None	None	1978	1978	1978
David MALIK	CZE	M	1 Aug 1992	1992	2010	2010	2010
Hans-Jochen ROSENBAUM	GER	M	None	None	1978	1978	1978
Michaela MAJTANOVA	CZE	W	7 Oct 1992	1992	2010	2010	2010
Wulf SCHUETTE	GER	M	None	None	1978	1978	1978
Nikola MARADOVA	CZE	W	11 Jan 1992	1992	None	None	None
Jan LUDMILA	CZE	M	8 Sep 1992	1992	None	None	None
Ales MARIN	CZE	M	4 Oct 1992	1992	None	None	None
Klara MACHACKOVA	CZE	W	21 Dec 1992	1992	2010	2010	2010
Matous LORENC	CZE	M	29 Aug 1992	1992	2012,2010	2010	2012
Jakub KUCERA	CZE	M	5 May 1993	1993	2011,2010	2010	2011
Marek MACHAC	CZE	M	5 Feb 1993	1993	None	None	None
Martin KAINC	CZE	M	20 Jun 1992	1992	2010	2010	2010
Constantin SOLODKI	RUS	M	None	None	1978	1978	1978
Tamara KONOPOVA	CZE	W	18 Feb 1994	1994	2012	2012	2012
Igor TRETIAK	RUS	M	None	None	1978	1978	1978
Lucie JIRINSKA	CZE	W	2 Mar 1993	1993	2011,2010	2010	2011
Jan KRATKY	CZE	M	4 Nov 1992	1992	None	None	None
Kalin KONOV	BUL	M	None	None	1978	1978	1978
Vojtech KNAISL	CZE	M	15 Aug 1992	1992	None	None	None
Vera KOTASKOVA	CZE	W	14 Jul 1992	1992	None	None	None
Plamen ATANASOV	BUL	M	None	None	1978	1978	1978
Daniel JARKOVSKI	CZE	M	21 Jan 1993	1993	None	None	None
Simeon YORDANOV	BUL	M	None	None	1978	1978	1978
Michael HUMPOLEC	CZE	M	12 May 1994	1994	2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2012,2011,2010	2010	2016
Dominik KINTER	CZE	M	27 Dec 1992	1992	2010	2010	2010
Petio TZEKOV	BUL	M	None	None	1978	1978	1978
Ondrej HOLLAS	CZE	M	4 Mar 1995	1995	2017,2016,2016,2015,2012,2011	2011	2017
Evgeni MIHAYLOV	BUL	M	None	None	1978	1978	1978
Sarka GMUGROVA	CZE	W	26 Nov 1992	1992	None	None	None
Matej PERTLIK	CZE	M	6 Jun 1993	1993	None	None	None
Barbora DVORSKA	CZE	W	11 Jul 1995	1995	None	None	None
Lucie BAUDYSOVA	CZE	W	16 Sep 1993	1993	None	None	None
Michal DOSBABA	CZE	M	25 Oct 1993	1993	None	None	None
Adam ATARSIA	ALG	M	22 Mar 1993	1993	2012,2011	2011	2012
Petr HLAVACKA	CZE	M	24 Apr 1992	1992	None	None	None
Jan BRODNICEK	CZE	M	29 Jun 1993	1993	2011,2010	2010	2011
Jan HAJEK	CZE	M	18 Aug 1993	1993	2017,2017,2017,2017,2016,2015,2015,2015,2015,2014,2014,2014,2013,2012,2011	2011	2017
Kristyna FLEISSNEROVA	CZE	W	18 Aug 1992	1992	2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2010,2010	2010	2018
Veronika BRAZDOVA	CZE	W	6 May 1992	1992	None	None	None
Matthew SMITH	USA	M	None	None	1978	1978	1978
Michaela HOMZOVA	CZE	W	9 May 1993	1993	None	None	None
David WORTHEN	USA	M	None	None	1978	1978	1978
Burgess SMITH	USA	M	None	None	1978,1977	1977	1978
Charles GARDINER	USA	M	None	None	1978	1978	1978
Steve WEINSTEIN	USA	M	None	None	1978	1978	1978
Jernej MARKOVC	SLO	M	12 Jun 1994	1994	2014,2014,2013,2013,2013,2012,2012,2012,2011,2010	2010	2014
Ana ANIC	CRO	W	29 Aug 1989	1989	2011	2011	2011
Mate LEDENKO	CRO	M	1 Jul 1993	1993	2013,2012,2011,2010,2010	2010	2013
Mile CAKARUN	CRO	M	25 May 1993	1993	2015,2014,2013,2012,2011,2010,2010	2010	2015
Cosmin-Ilie CUCIUREAN	ROU	M	19 Jul 1993	1993	2013,2012,2012,2011,2010	2010	2013
Ioan PRUNDEANU	ROU	M	17 Jan 1993	1993	2018,2018,2018,2017,2017,2017,2016,2015,2015,2015,2014,2014,2013,2013,2013,2012,2012,2011,2010	2010	2018
Vasile AGAFITEI	ROU	M	7 Sep 1993	1993	2017,2015,2014,2013,2013,2012,2012,2011,2010	2010	2017
Petru-Adrian GHICA	ROU	M	17 Jun 1993	1993	2010	2010	2010
Ionut-Alexandru SELEJEANU	ROU	M	28 Oct 1992	1992	2010	2010	2010
Vlad-Dragos AICOBOAE	ROU	M	10 Oct 1993	1993	2018,2018,2018,2017,2017,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2012,2011,2010,2010	2010	2018
Toader-Andrei GONTARU	ROU	M	7 Feb 1993	1993	2016,2016,2016,2015,2015,2015,2015,2014,2014,2013,2013,2013,2012,2011,2010,2010	2010	2016
Constantin TUTU	ROU	M	27 Aug 1992	1992	None	None	None
Catalin-Alexandru AXINTE	ROU	M	5 May 1993	1993	2010	2010	2010
Bogdanel-Nicolaie IVAN	ROU	M	30 Jul 1993	1993	2011,2010	2010	2011
Adrian CIONCA	ROU	M	16 May 1993	1993	2016,2015,2014,2013,2012,2011	2011	2016
Ionut LUCA	ROU	M	27 Jun 1993	1993	2011,2010	2010	2011
Marius-Vasile COZMIUC	ROU	M	7 Sep 1992	1992	2018,2018,2018,2017,2017,2017,2016,2016,2015,2015,2015,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2010,2010	2010	2018
Stefan NICA	ROU	M	22 Dec 1992	1992	2013,2012,2011,2010	2010	2013
Isabela-Mihaela SOLOMON	ROU	W	22 Jun 1993	1993	2015,2013,2012,2011,2010	2010	2015
Viorica-Andrea DEACU	ROU	W	11 Aug 1992	1992	2010	2010	2010
Elena-Lavinia TARLEA	ROU	W	11 May 1993	1993	2015,2014,2013,2012,2011,2010	2010	2015
Cristina-Mihaela HUTAN	ROU	W	28 Mar 1993	1993	None	None	None
Ana-Maria AFTODE	ROU	W	22 Aug 1993	1993	2012,2011,2010	2010	2012
Laura OPREA	ROU	W	19 Feb 1994	1994	2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2012,2011,2010	2010	2017
Madalina BERES	ROU	W	3 Jul 1993	1993	2018,2018,2018,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2013,2012,2011,2010	2010	2018
Ionela-Minodora POPESCU	ROU	W	31 Jul 1993	1993	2011,2010	2010	2011
Madalina BUZDUGAN	ROU	W	13 Jun 1993	1993	2011,2010	2010	2011
Ionela-Madalina RUSU	ROU	W	21 Aug 1993	1993	2013,2012,2011,2010	2010	2013
Dumitra-Daniela TURCANU	ROU	W	1 Aug 1992	1992	2010	2010	2010
Marius-Bogdan CUZMANOVICI	ROU	M	6 Aug 1996	1996	None	None	None
Steve FLOYD	USA	M	None	None	1978	1978	1978
Vincent CASEY	USA	M	None	None	1978	1978	1978
Nathaniel TRINSEY	USA	M	None	None	1978	1978	1978
Charles LANGE	USA	M	None	None	1978	1978	1978
Jens WEGENER	GER	M	None	None	1978	1978	1978
Detlef KRIEMANN	GER	M	None	None	1978,1977	1977	1978
Sergei JAVORSKI	RUS	M	None	None	1978	1978	1978
Sergei KAZARENKO	RUS	M	None	None	1978	1978	1978
Victor DIMOOV	RUS	M	None	None	1978	1978	1978
Alexander ROLLE	GER	M	1 Feb 1966	1966	None	None	None
Constanze DUELL	GER	W	5 Mar 1989	1989	2018,2018,2015,2015,2014,2011,2010	2010	2018
Anna RUDNICKA	POL	W	22 Mar 1989	1989	2010,2010	2010	2010
Jolanta PAWLIKOWSKA-CICHY	POL	W	1 Jul 1967	1967	2010,2010	2010	2010
Eberhard KIEL	GER	M	None	None	1978	1978	1978
Soto Julian ARRATIBEL	ESP	M	None	None	1978	1978	1978
Steffen HELBIG	GER	M	None	None	1978	1978	1978
Sergei DODRUKHIN	RUS	M	None	None	1978	1978	1978
Andreas POHL	GER	M	None	None	1978	1978	1978
Karl-Michael TROEGER	GER	M	None	None	1978,1977	1977	1978
Sergei KOROVIN	RUS	M	None	None	1978	1978	1978
Nicolai KORNEITCHIK	RUS	M	None	None	1978	1978	1978
Sergei BORODAVKO	RUS	M	None	None	1978	1978	1978
Ivan MLADENOV	BUL	M	None	None	1978	1978	1978
Lubomir STOIMENOV	BUL	M	None	None	1978	1978	1978
Matthias SCHELBERT	GER	M	None	None	1978	1978	1978
Thomas LUTZ	GER	M	None	None	1978	1978	1978
Roland SCHUSTER	GER	M	None	None	1978	1978	1978
Attila KENNEMANN	GER	M	None	None	1978	1978	1978
Frank PREUSS	GER	M	None	None	1978	1978	1978
Ralf-Peter BRAEUTIGAM	GER	M	None	None	1978,1977,1976	1976	1978
Pascal DANIERE	FRA	M	13 Jul 1969	1969	2018,2017,2017,2011,2011,2010,2010	2010	2018
Richard CALIFF	USA	M	None	None	1978,1977	1977	1978
Christopher PETERSON	USA	M	None	None	1978	1978	1978
Claire LAMBE	IRL	W	16 May 1990	1990	2016,2016,2016,2016,2016,2015,2015,2015,2014,2014,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010	2010	2016
Raphael JEANNERET	SUI	M	18 Jun 1987	1987	2011,2011,2011,2010,2010,2010,2010	2010	2011
Paul HANNAH	USA	M	None	None	1978	1978	1978
George NALLS	USA	M	None	None	1978	1978	1978
John MICHALOWSKI	USA	M	None	None	1978	1978	1978
James MCGLONE	USA	M	None	None	1978	1978	1978
Mikhail GOLUBEV	RUS	M	None	None	1978	1978	1978
Andrei MARKIN	RUS	M	None	None	1978	1978	1978
Nikolai SOKOLOV	RUS	M	None	None	1978	1978	1978
Konstantin KORNEEV	RUS	M	None	None	1978	1978	1978
Vasili VASILTCHUK	RUS	M	None	None	1978	1978	1978
Nikolai EVSEEV	RUS	M	None	None	1978	1978	1978
Mikhail POPKOV	RUS	M	None	None	1978	1978	1978
V. KHITROV	RUS	M	None	None	1978	1978	1978
Olaf GAWER	GER	M	None	None	1978	1978	1978
Steffen HARTMANN	GER	M	None	None	1978	1978	1978
Frank SCHULZE	GER	M	None	None	1978	1978	1978
Axel EBELSHAUSEN	GER	M	None	None	1978	1978	1978
Ralf NITIZKI	GER	M	None	None	1978	1978	1978
Thomas VALENTIN	GER	M	None	None	1978	1978	1978
Dieter LEPTIEN	GER	M	None	None	1978,1977	1977	1978
Arnold FRANK	GER	M	None	None	1978	1978	1978
J̦rg BISCHOFF	GER	M	None	None	1978	1978	1978
Andreas VAHLENKAMP	GER	M	None	None	1978	1978	1978
Stefan DEMSKE	GER	M	None	None	1978,1977	1977	1978
Inga-Brit SCHUH	GER	W	None	None	1978	1978	1978
Annett FOERSTER	GER	W	None	None	1978	1978	1978
Martina ENGEL	GER	W	None	None	1978	1978	1978
Petra BLECHSCHMIDT	GER	W	None	None	1978	1978	1978
Elena KUZNEZOVA	RUS	W	None	None	1978	1978	1978
Irina JABINA	RUS	W	None	None	1978	1978	1978
Svetlana MOROZOVA	RUS	W	None	None	1978	1978	1978
Olga LAND	RUS	W	None	None	1978	1978	1978
Elena DOLGOCHEI	RUS	W	None	None	1978	1978	1978
Roxane MACLAURIN	CAN	W	None	None	1978	1978	1978
Kathy CHAPMAN	CAN	W	None	None	1978	1978	1978
Maureen FAIR	CAN	W	None	None	1978	1978	1978
Sharon MAY	CAN	W	None	None	1978	1978	1978
Beatrix SPETHER	GER	W	None	None	1978	1978	1978
Ulla KIRK	GER	W	None	None	1978	1978	1978
Cynthia DOGGETT	USA	W	None	None	1978	1978	1978
Sheryl OSTEEN	USA	W	None	None	1978	1978	1978
Turlough HUGHES	IRL	M	11 Feb 1992	1992	2010	2010	2010
Galina RAJKOVA	RUS	W	None	None	1978	1978	1978
Pascale MEAUTTE	FRA	W	None	None	1978	1978	1978
Victoria KUDRIASHOVA	RUS	W	None	None	1978	1978	1978
Andrea SCHMIDT	GER	W	None	None	1978	1978	1978
Ramona PREUSS	GER	W	None	None	1978	1978	1978
Pascale CHAMBELLANT	FRA	W	None	None	1978	1978	1978
Beatrice GELAN	FRA	W	None	None	1978	1978	1978
Anne GABILLET	FRA	W	None	None	1978	1978	1978
Isabelle MOREAU	FRA	W	None	None	1978	1978	1978
Nicole BUSQUANT	FRA	W	None	None	1978	1978	1978
Sonia NICOLET	FRA	W	None	None	1978,1977	1977	1978
Dana TILSON	USA	W	None	None	1978	1978	1978
Lisa LOWELL	USA	W	None	None	1978	1978	1978
Bettina LUFNER	USA	W	None	None	1978	1978	1978
Anne Marie KROLL	GER	W	4 Oct 1993	1993	2013,2011,2010	2010	2013
Kersten KRUEGER	GER	W	None	None	1978	1978	1978
Gail HEWITT	USA	W	None	None	1978	1978	1978
Ruth RUSSELL	USA	W	None	None	1978	1978	1978
Vera SCHWARZENBACH	GER	W	None	None	1978	1978	1978
Karla LAEGEL	GER	W	None	None	1978	1978	1978
Ilona SCHAAL	GER	W	None	None	1978	1978	1978
Jana CVANETOVA	CZE	W	None	None	1978	1978	1978
Iva BERANOVA	CZE	W	None	None	1978	1978	1978
Eva HAJAJOVA	CZE	W	None	None	1978	1978	1978
Galina SHINKEVITCH	RUS	W	None	None	1978	1978	1978
Raisa LEVKO	RUS	W	None	None	1978	1978	1978
Tatiana KULESHOVA	RUS	W	None	None	1978	1978	1978
Svetlana AVTUSHKO	RUS	W	None	None	1978	1978	1978
Galina POPELUKHA	RUS	W	None	None	1978	1978	1978
Kirsten BOESE	GER	W	None	None	1978	1978	1978
Isolda PENNEY	CAN	W	9 Jul 1974	1974	2010,2010,2010	2010	2010
Mara WEBER	GER	W	20 Mar 1993	1993	None	None	None
Alexey CHUVASHEV	RUS	M	22 Jan 1986	1986	2018,2018,2017,2017,2015,2015,2014,2014,2013,2013,2012,2011,2011,2010,2010	2010	2018
Vladimir CHERNISHOV	RUS	M	10 Feb 1969	1969	2010,2010	2010	2010
Ekaterina SNEGIREVA	RUS	W	24 Jun 1987	1987	2018,2016,2015,2015,2012,2012,2011,2011,2010,2010	2010	2018
Evgeniy SHIRYAEV	RUS	M	11 Sep 1988	1988	2011,2011,2010,2010	2010	2011
Silvia DE MARIA	ITA	W	14 Apr 1973	1973	2012,2012,2011,2011,2010,2010	2010	2012
Ryan CHAMBERLAIN	GBR	M	3 Apr 1986	1986	2011,2010,2010	2010	2011
Kelsie GIBSON	GBR	W	17 Jul 1993	1993	2011,2010,2010	2010	2011
Nataliya BOGITOVA	UZB	W	30 Oct 1977	1977	2010	2010	2010
Meghan MUSNICKI	USA	W	5 Feb 1983	1983	2016,2016,2015,2015,2014,2014,2013,2013,2013,2012,2012,2011,2011,2011,2010,2010	2010	2016
Meiling SUN	CHN	W	17 Jan 1990	1990	2011,2011,2011,2010,2010,2010,2010	2010	2011
Hong LIN	CHN	W	5 Feb 1987	1987	2011,2011,2011,2010,2010,2010,2010	2010	2011
Xiaobing GUO	CHN	M	20 Jun 1987	1987	2012,2011,2011,2011,2010,2010,2010,2010	2010	2012
Dongjian LI	CHN	M	18 Jul 1989	1989	2015,2015,2014,2014,2014,2012,2011,2011,2011,2010,2010,2010,2010	2010	2015
Kun LIU	CHN	M	26 May 1989	1989	2011,2011,2011,2010,2010,2010,2010	2010	2011
Jie YANG	CHN	M	14 Oct 1987	1987	2010,2010,2010	2010	2010
Xinnan WANG	CHN	W	12 Jul 1989	1989	2010,2010,2010,2010	2010	2010
Wenyi HUANG	CHN	W	6 Mar 1991	1991	2016,2016,2016,2015,2015,2015,2014,2014,2014,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010	2010	2016
Feihong PAN	CHN	W	17 Jul 1989	1989	2017,2016,2016,2016,2015,2015,2015,2013,2012,2012,2011,2011,2011,2010,2010,2010,2010	2010	2017
Tingting LIU	CHN	W	8 Sep 1990	1990	2010,2010,2010,2010	2010	2010
Lei LI	CHN	M	10 Jul 1989	1989	2016,2016,2012,2012,2011,2011,2011,2010,2010,2010,2010	2010	2016
Jingbin ZHAO	CHN	M	18 Apr 1990	1990	2018,2018,2018,2017,2016,2016,2016,2015,2015,2015,2014,2014,2012,2010,2010,2010,2010	2010	2018
Yan JIANG	CHN	W	10 Jan 1989	1989	2018,2018,2018,2018,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2012,2012,2011,2011,2010,2010,2010,2010	2010	2018
Zengxin YANG	CHN	M	11 Jan 1990	1990	2015,2015,2014,2014,2014,2011,2011,2010,2010,2010,2010	2010	2015
Cunming LI	CHN	M	12 Feb 1991	1991	2017,2014,2010,2010,2010	2010	2017
Quan ZHANG	CHN	M	14 Sep 1990	1990	2018,2017,2017,2016,2015,2015,2015,2014,2014,2014,2011,2011,2010,2010,2010,2010	2010	2018
Zhongwei LI	CHN	M	15 Sep 1989	1989	2016,2016,2012,2012,2011,2011,2011,2010,2010,2010,2010	2010	2016
Weiping ZHANG	CHN	W	18 Apr 1988	1988	2010,2010,2010	2010	2010
Jiahuan LIU	CHN	W	23 Dec 1988	1988	2011,2011,2011,2010,2010,2010,2010	2010	2011
Zhen JI	CHN	W	24 Jul 1987	1987	2011,2011,2010,2010,2010	2010	2011
